"Fecha","Día","Festivo"
"1/1/2023","Sunday","Sí"
"1/2/2023","Monday","No"
"1/3/2023","Tuesday","No"
"1/4/2023","Wednesday","No"
"1/5/2023","Thursday","No"
"1/6/2023","Friday","Sí"
"1/7/2023","Saturday","Sí"
"1/8/2023","Sunday","Sí"
"1/9/2023","Monday","No"
"1/10/2023","Tuesday","No"
"1/11/2023","Wednesday","No"
"1/12/2023","Thursday","No"
"1/13/2023","Friday","No"
"1/14/2023","Saturday","Sí"
"1/15/2023","Sunday","Sí"
"1/16/2023","Monday","No"
"1/17/2023","Tuesday","No"
"1/18/2023","Wednesday","No"
"1/19/2023","Thursday","No"
"1/20/2023","Friday","No"
"1/21/2023","Saturday","Sí"
"1/22/2023","Sunday","Sí"
"1/23/2023","Monday","No"
"1/24/2023","Tuesday","No"
"1/25/2023","Wednesday","No"
"1/26/2023","Thursday","No"
"1/27/2023","Friday","No"
"1/28/2023","Saturday","Sí"
"1/29/2023","Sunday","Sí"
"1/30/2023","Monday","No"
"1/31/2023","Tuesday","No"
"2/1/2023","Wednesday","No"
"2/2/2023","Thursday","No"
"2/3/2023","Friday","No"
"2/4/2023","Saturday","Sí"
"2/5/2023","Sunday","Sí"
"2/6/2023","Monday","No"
"2/7/2023","Tuesday","No"
"2/8/2023","Wednesday","No"
"2/9/2023","Thursday","No"
"2/10/2023","Friday","No"
"2/11/2023","Saturday","Sí"
"2/12/2023","Sunday","Sí"
"2/13/2023","Monday","No"
"2/14/2023","Tuesday","No"
"2/15/2023","Wednesday","No"
"2/16/2023","Thursday","No"
"2/17/2023","Friday","No"
"2/18/2023","Saturday","Sí"
"2/19/2023","Sunday","Sí"
"2/20/2023","Monday","No"
"2/21/2023","Tuesday","No"
"2/22/2023","Wednesday","No"
"2/23/2023","Thursday","No"
"2/24/2023","Friday","No"
"2/25/2023","Saturday","Sí"
"2/26/2023","Sunday","Sí"
"2/27/2023","Monday","No"
"2/28/2023","Tuesday","No"
"3/1/2023","Wednesday","No"
"3/2/2023","Thursday","No"
"3/3/2023","Friday","No"
"3/4/2023","Saturday","Sí"
"3/5/2023","Sunday","Sí"
"3/6/2023","Monday","No"
"3/7/2023","Tuesday","No"
"3/8/2023","Wednesday","No"
"3/9/2023","Thursday","No"
"3/10/2023","Friday","No"
"3/11/2023","Saturday","Sí"
"3/12/2023","Sunday","Sí"
"3/13/2023","Monday","No"
